item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q24068353,Q24068353,,,,1250,,,
Q3758665,Gaspare Ruina,Gaspare,,Italian architect,,1600,architect,
Q19946647,Atanasio Zannoni,,,,1720,1792,stage actor,
Q2849490,Angelo Notari,Angelo,Notari,Italian composer,1566,1663,composer,
Q2521326,Vettor Grimani,,,,1495,1558,,
Q3757083,Gaetano Pinali,Gaetano,Pinali,Italian architect,1759,1846,architect,
Q3846603,Marco degli Oddi,Marco,,Italian physician and philosopher,1526,1591,"physician, philosopher",
Q3903649,Pietro Antonio Zaguri,Pietro,,Italian politician and architect,1733,1805,"architect, politician",
Q41617294,Alessandro Nievo,Alessandro,Nievo,1417-1484,1417,1484,"jurist, publisher, religious, canon law jurist",
Q3776524,Gregorio Morlaiter,Gregorio,,Italian sculptor (1738-1784),1738,1784,sculptor,
Q3983866,Teodoro Balbi,Teodoro,,Italian politician,1542,1619,politician,
Q33083490,Federico Contarini,Federico,Contarini,politician,1479,1512,politician,
Q3765728,Giorgio Rusconi,Giorgio,Rusconi,Italian publisher and typographer,1470,1522,"typographer, publisher",
Q41568536,Rafaino Caresini,,,1314-1390,1314,1390,"politician, diplomat, historian",
Q3107023,Giovanni Battista Altieri,Giovanni Battista,Altieri,Italian cardinal (1673-1740),1673,1740,"Catholic priest, catholic deacon",
Q15953053,Antonio Marsand,Antonio,,Italian presbyter,1765,1842,presbyter,
Q1909342,Matteo Alberti,Matteo,Alberti,Italian architect,1660,1735,architect,
Q89045220,Marco Barbaro,Marco,Barbaro,,1754,1798,,
Q26736068,Alvise Badoer,Alvise,,Republic of Venice politician,1483,1554,politician,
Q3758661,Gaspare Negro,Gaspare,Negro,Italian painter and architect (1475-1549),1475,1549,"architect, painter",
Q3616869,Angelo Badoer,Angelo,Badoer,Italian politician,1565,1630,"politician, diplomat",
Q3750027,Francesco Gardi,Francesco,,Italian composer,1760,1810,composer,
Q9162169,Augustin Luciani,Agostino,,,1450,1493,Catholic priest,
Q3619493,Antonio D'Este,Antonio,D'Este,Italian sculptor (1754-1837),1754,1837,sculptor,
Q94829110,Luigi Locatelli,,,"mechanic , born in Venice in 1778, died on 1 September 1855",1778,1855,mechanic,
Q4013595,Vincenzo degli Alessandri,Vincenzo,Degli Alessandri,Italian diplomat,1530,1595,diplomat,
Q4007869,Valerio Da Pos,Valerio,,Italian poet,1740,1822,poet,
Q3107691,Girolamo Minotto,Girolamo,,Italian politician,,1453,politician,
Q19408979,Pace Pace,Pace,Pace,,,1617,painter,
Q3609862,Alessandro Bon,Alessandro,Bon,Italian condottiero and politician,1654,1715,"politician, condottiero",
Q18672080,Alberto Pezzi,Alberto,Pezzi,Italian entrepreneur,1692,1764,entrepreneur,
Q94506054,Franz Wenzeslaus Barcovich,Franz,,,1700,1779,,
Q3766550,Giovanni Battista Albanese,Giovanni,Albanese,Italian sculptor and architect (1573-1630),1573,1630,"architect, sculptor",
Q88173150,Stefano Contarini,Stefano,Contarini,,1444,1518,,
Q4014935,Vitale Orseolo,Vitale,,,,1100,Catholic priest,
Q93123105,Giacomo Priuli,Giacomo,Priuli,,,1379,politician,
Q15832587,Livio Sanuto,Livio,Sanuto,,1520,1576,"geographer, cartographer, cosmographer",
Q4013236,Vincenzo Diedo,Vincenzo,Diedo,roman-catholic patriarch,1499,1559,politician,
Q23309345,Q23309345,Gian,,,1480,1522,military leader,
Q3766688,Giovanni Battista Lorenzetti,Giovanni,,Italian painter (1588-1668),1588,1668,painter,
Q3837111,Lorenzo da Ponte,Lorenzo,,,1695,1768,Catholic priest,
Q59629223,Giovanni Antonio Remondini,Giovanni,,"Remondini, Giovanni Antonio, 1634-1711; Remondini, Giovanni Antonio, fl. 1650-1711; Remondini, Giovanni Antonio (Italian printmaker, 1634-1711",1634,1711,"art dealer, printer, artist, bookseller, publisher, printmaker, printer-bookseller",
Q88614074,Q88614074,,,,,,,
Q94618958,Johann Peter Bergantini,"Giovanni, Pietro",,,1685,1764,,
Q91909669,Antonio Barbarigo,Antonio,,,,1560,,
Q1522112,Giacomo Giuseppe Saratelli,Giacomo,,Italian composer,1682,1762,composer,
Q94535033,Q94535033,,,,1370,1414,politician,
Q430155,Galeazzo Mondella,Galeazzo,Mondella,Italian goldsmith and sculptor,1467,1528,"goldsmith, sculptor",
Q54888352,Pier Tommaso Campana,Pier,Campana,,1693,1750,"inquisitor, philosopher, dominican friar",
Q16527680,Antonio Olivi,Antonio,,,,1848,military personnel,
Q3897177,Pasqualino di Niccolò,Pasqualino,,Italian painter (1463-1504),1463,1504,painter,
Q5295442,Donato,Donato,,Italian painter from XIV century,1400,1400,painter,
Q56006855,Maffeo Pinelli,Maffeo,Pinelli,born 1736; died 1785,1735,1785,"printer, translator",
Q3765254,Giorgio Angelieri,Giorgio,Angelieri,Italian publisher and typographer,1562,1600,"typographer, publisher",
Q55833463,Q55833463,Lodovico,,,1498,1547,politician,
Q75235706,Michelangelo Prunati,Michelangelo,Prunati,Italian painter,1690,1756,"artist, painter",
Q17341109,Iseppo Pichi,,,,1680,1755,"lawyer, poet",
Q17285537,Antonio Simbenati,Antonio,,Italian painter,1668,1800,painter,
Q65680095,Q65680095,Michelangelo,,,1736,,sculptor,
Q3756687,Gabriele Tadino,"Gabriel, Gabriele",Tadino,Italian engineer,1476,1543,engineer,
Q19291619,Michele Tramezzino,Michele,,publisher (1501-1579),1501,1571,"printer, publisher, Q3968084",
Q3748840,Fortunato Morosini,Fortunato,Morosini,,1666,1727,"Catholic priest, catholic deacon",
